Node,CST,Tx power,IP address,x,y,z
5,-82,0,10.1.3.2,13.9866,40.9798,1.5
6,-82,0,10.1.4.1,24.9885,11.1593,1.5
7,-82,0,10.1.4.2,24.739,14.1489,1.5
8,-82,0,10.1.5.1,37.4141,33.3478,1.5
9,-82,0,10.1.5.2,39.4228,31.1195,1.5
10,-82,0,10.1.6.1,39.7385,20.9394,1.5
11,-82,0,10.1.6.2,42.4187,19.5915,1.5
12,-82,0,10.1.7.1,23.128,42.8893,1.5
13,-82,0,10.1.7.2,20.7252,44.6856,1.5
14,-82,0,10.1.8.1,14.8817,44.9009,1.5
15,-82,0,10.1.8.2,12.0299,43.9697,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,41.8185,13.4788,1.5
1,-82,0,10.1.1.2,44.3368,11.8483,1.5
2,-82,0,10.1.2.1,42.3606,36.0258,1.5
3,-82,0,10.1.2.2,42.8235,33.0617,1.5
4,-82,0,10.1.3.1,35.5372,3.96782,1.5
5,-82,0,10.1.3.2,33.5016,1.76408,1.5
6,-82,0,10.1.4.1,7.66351,11.3732,1.5
7,-82,0,10.1.4.2,4.66856,11.5473,1.5
8,-82,0,10.1.5.1,42.7549,20.0674,1.5
9,-82,0,10.1.5.2,40.1122,18.6475,1.5
10,-82,0,10.1.6.1,6.94763,33.5922,1.5
11,-82,0,10.1.6.2,8.76668,31.2066,1.5
12,-82,0,10.1.7.1,9.43698,17.1881,1.5
13,-82,0,10.1.7.2,9.09017,20.168,1.5
14,-82,0,10.1.8.1,36.7339,11.6335,1.5
15,-82,0,10.1.8.2,39.6473,12.3488,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,34.4825,44.6709,1.5
1,-82,0,10.1.1.2,37.4782,44.8302,1.5
2,-82,0,10.1.2.1,37.5514,21.6838,1.5
3,-82,0,10.1.2.2,36.2954,24.4083,1.5
4,-82,0,10.1.3.1,29.6883,7.84849,1.5
5,-82,0,10.1.3.2,29.9617,10.836,1.5
6,-82,0,10.1.4.1,32.9666,9.59222,1.5
7,-82,0,10.1.4.2,34.668,12.0631,1.5
8,-82,0,10.1.5.1,36.3833,8.78914,1.5
9,-82,0,10.1.5.2,36.508,5.79173,1.5
10,-82,0,10.1.6.1,33.2438,9.36971,1.5
11,-82,0,10.1.6.2,31.3476,7.04497,1.5
12,-82,0,10.1.7.1,40.3967,15.7662,1.5
13,-82,0,10.1.7.2,40.6925,18.7515,1.5
14,-82,0,10.1.8.1,45.3108,24.0486,1.5
15,-82,0,10.1.8.2,45.9694,21.1217,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,35.7561,30.9048,1.5
1,-82,0,10.1.1.2,36.6039,33.7825,1.5
2,-82,0,10.1.2.1,9.61253,33.8261,1.5
3,-82,0,10.1.2.2,11.9528,31.9492,1.5
4,-82,0,10.1.3.1,18.4038,32.679,1.5
5,-82,0,10.1.3.2,17.5638,35.559,1.5
6,-82,0,10.1.4.1,9.4782,6.66428,1.5
7,-82,0,10.1.4.2,11.31,4.28849,1.5
8,-82,0,10.1.5.1,34.8535,25.5576,1.5
9,-82,0,10.1.5.2,37.3491,27.2226,1.5
10,-82,0,10.1.6.1,45.155,8.50193,1.5
11,-82,0,10.1.6.2,46.1427,11.3347,1.5
12,-82,0,10.1.7.1,24.4486,17.285,1.5
13,-82,0,10.1.7.2,27.4486,17.2889,1.5
14,-82,0,10.1.8.1,36.0271,20.6995,1.5
15,-82,0,10.1.8.2,38.9856,20.202,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,26.8521,24.1257,1.5
1,-82,0,10.1.1.2,27.8053,21.2811,1.5
2,-82,0,10.1.2.1,35.6242,30.5962,1.5
3,-82,0,10.1.2.2,32.7766,31.5401,1.5
4,-82,0,10.1.3.1,26.0965,31.7895,1.5
5,-82,0,10.1.3.2,23.1717,31.122,1.5
6,-82,0,10.1.4.1,32.7909,40.951,1.5
7,-82,0,10.1.4.2,35.6291,39.9792,1.5
8,-82,0,10.1.5.1,10.2312,30.3536,1.5
9,-82,0,10.1.5.2,12.6117,32.1793,1.5
10,-82,0,10.1.6.1,37.751,3.95649,1.5
11,-82,0,10.1.6.2,34.786,4.41335,1.5
12,-82,0,10.1.7.1,16.9314,22.4518,1.5
13,-82,0,10.1.7.2,16.7727,19.456,1.5
14,-82,0,10.1.8.1,36.1338,40.5315,1.5
15,-82,0,10.1.8.2,36.047,37.5328,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,6.05528,19.3066,1.5
1,-82,0,10.1.1.2,6.56342,16.35,1.5
2,-82,0,10.1.2.1,39.0758,31.3517,1.5
3,-82,0,10.1.2.2,41.1099,29.1466,1.5
4,-82,0,10.1.3.1,5.52999,39.051,1.5
5,-82,0,10.1.3.2,2.96296,37.4985,1.5
6,-82,0,10.1.4.1,17.2993,44.4864,1.5
7,-82,0,10.1.4.2,14.5323,43.3273,1.5
8,-82,0,10.1.5.1,38.2359,45.1176,1.5
9,-82,0,10.1.5.2,38.8724,48.0493,1.5
10,-82,0,10.1.6.1,12.0131,22.4548,1.5
11,-82,0,10.1.6.2,14.5978,20.9319,1.5
12,-82,0,10.1.7.1,14.6806,19.0488,1.5
13,-82,0,10.1.7.2,15.6037,21.9033,1.5
14,-82,0,10.1.8.1,5.20144,31.5018,1.5
15,-82,0,10.1.8.2,3.36763,29.1275,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,28.8607,5.20521,1.5
1,-82,0,10.1.1.2,26.5963,7.17308,1.5
2,-82,0,10.1.2.1,9.76128,8.36246,1.5
3,-82,0,10.1.2.2,12.5326,9.51115,1.5
4,-82,0,10.1.3.1,27.969,27.2499,1.5
5,-82,0,10.1.3.2,28.3762,24.2776,1.5
6,-82,0,10.1.4.1,6.20788,18.9597,1.5
7,-82,0,10.1.4.2,4.35047,16.6039,1.5
8,-82,0,10.1.5.1,18.7645,20.194,1.5
9,-82,0,10.1.5.2,16.6674,22.3393,1.5
10,-82,0,10.1.6.1,21.0376,28.91,1.5
11,-82,0,10.1.6.2,22.0375,26.0816,1.5
